2_6jq5_A_S000012,-321.6,90.6,23.81
2_6jq5_A_S000013,-317.5,70.5,15.17
2_6jq5_A_S000014,-345.8,47.8,14.79
2_6jq5_A_S000015,-344.2,37.3,13.37
2_6jq5_A_S000016,-329.5,58.1,22.91
2_6jq5_A_S000017,-325.3,43.5,20.98
2_6jq5_A_S000018,-338.4,47.8,26.32
2_6jq5_A_S000019,-334.0,61.1,25.02
2_6jq5_A_S000020,-321.5,47.3,14.23
3_6jq5_A_S000001,-283.7,85.4,20.85
3_6jq5_A_S000002,-297.4,51.9,19.54
3_6jq5_A_S000003,-346.1,37.4,13.87
3_6jq5_A_S000004,-313.0,63.0,23.41
3_6jq5_A_S000005,-320.2,37.4,18.85
3_6jq5_A_S000006,-330.9,43.3,11.55
3_6jq5_A_S000007,-326.0,64.1,29.06
3_6jq5_A_S000008,-345.9,57.5,13.97
3_6jq5_A_S000009,-375.7,46.3,20.07
3_6jq5_A_S000010,-333.6,48.9,27.75
3_6jq5_A_S000011,-326.0,50.0,24.00
3_6jq5_A_S000012,-276.1,91.5,20.43
3_6jq5_A_S000013,-328.2,61.3,16.16
3_6jq5_A_S000014,-351.6,45.2,14.71
3_6jq5_A_S000015,-308.7,57.5,12.13
3_6jq5_A_S000016,-311.4,60.4,25.52
3_6jq5_A_S000017,-333.2,36.7,15.95
3_6jq5_A_S000018,-353.9,48.7,22.65
3_6jq5_A_S000019,-348.1,48.1,14.65
3_6jq5_A_S000020,-313.4,62.1,17.66
4_6jq5_A_S000001,-334.3,54.1,30.55
4_6jq5_A_S000002,-351.6,29.2,25.07
4_6jq5_A_S000003,-253.6,85.4,14.76
4_6jq5_A_S000004,-359.2,62.7,16.94
4_6jq5_A_S000005,-341.5,42.6,12.80
4_6jq5_A_S000006,-271.6,54.8,25.42
4_6jq5_A_S000007,-326.3,58.3,22.54
4_6jq5_A_S000008,-357.6,46.9,25.28
4_6jq5_A_S000009,-336.0,60.6,22.37
4_6jq5_A_S000010,-312.7,57.7,17.08
4_6jq5_A_S000011,-320.9,56.1,24.50
4_6jq5_A_S000012,-319.4,51.5,17.90
4_6jq5_A_S000013,-348.6,50.6,30.77
4_6jq5_A_S000014,-331.2,45.6,16.45
4_6jq5_A_S000015,-335.4,37.7,16.36
4_6jq5_A_S000016,-322.6,76.2,16.80
4_6jq5_A_S000017,-326.1,37.8,16.15
4_6jq5_A_S000018,-319.6,62.8,23.18
4_6jq5_A_S000019,-173.4,114.9,17.08
4_6jq5_A_S000020,-326.2,43.7,22.47
5_6jq5_A_S000001,-275.0,81.4,26.05
5_6jq5_A_S000002,-309.1,85.3,16.19
5_6jq5_A_S000003,-319.9,80.0,17.70
5_6jq5_A_S000004,-335.3,63.0,28.66
5_6jq5_A_S000005,-324.0,56.6,22.89
5_6jq5_A_S000006,-328.4,42.2,21.29
5_6jq5_A_S000007,-324.8,51.8,21.54
5_6jq5_A_S000008,-318.2,39.0,14.13
5_6jq5_A_S000009,-321.9,48.5,16.77
5_6jq5_A_S000010,-329.2,39.7,14.39
5_6jq5_A_S000011,-336.8,78.7,16.97
5_6jq5_A_S000012,-322.8,42.7,16.34
5_6jq5_A_S000013,-326.7,57.4,16.02
5_6jq5_A_S000014,-340.4,39.7,15.41
5_6jq5_A_S000015,-336.1,47.6,15.69
5_6jq5_A_S000016,-331.7,43.6,26.52
5_6jq5_A_S000017,-333.3,61.4,12.90
5_6jq5_A_S000018,-324.3,71.3,14.20
5_6jq5_A_S000019,-330.8,56.6,16.15
5_6jq5_A_S000020,-331.7,75.8,17.18
6_6jq5_A_S000001,-186.1,131.5,11.80
6_6jq5_A_S000002,-332.5,42.8,15.87
