2_5bjp_E_S000016,-140.0,23.9,10.32
2_5bjp_E_S000017,-148.4,64.0,11.54
2_5bjp_E_S000018,-160.8,36.2,10.46
2_5bjp_E_S000019,-142.2,21.2,10.25
2_5bjp_E_S000020,-138.0,38.8,11.83
3_5bjp_E_S000001,-74.3,93.6,9.94
3_5bjp_E_S000002,-153.4,19.7,10.93
3_5bjp_E_S000003,-130.8,54.8,10.45
3_5bjp_E_S000004,-90.8,78.3,12.50
3_5bjp_E_S000005,-148.1,41.9,11.01
3_5bjp_E_S000006,-143.1,47.5,10.75
3_5bjp_E_S000007,-134.2,36.1,11.76
3_5bjp_E_S000008,-130.9,36.7,10.83
3_5bjp_E_S000009,-135.7,44.6,9.68
3_5bjp_E_S000010,-131.7,48.5,10.22
3_5bjp_E_S000011,-135.7,38.8,10.24
3_5bjp_E_S000012,-154.8,30.5,10.34
3_5bjp_E_S000013,-157.1,33.5,10.57
3_5bjp_E_S000014,-14.4,152.2,12.02
3_5bjp_E_S000015,-118.1,60.7,11.11
3_5bjp_E_S000016,-144.2,27.7,10.27
3_5bjp_E_S000017,-26.5,81.2,12.46
3_5bjp_E_S000018,-138.3,46.0,11.11
3_5bjp_E_S000019,-135.3,42.4,12.95
3_5bjp_E_S000020,-136.5,27.6,10.35
4_5bjp_E_S000001,-139.9,51.6,12.44
4_5bjp_E_S000002,-150.7,30.7,10.06
4_5bjp_E_S000003,-147.8,27.7,10.94
4_5bjp_E_S000004,-144.1,28.1,10.36
4_5bjp_E_S000005,-10.7,69.4,12.41
4_5bjp_E_S000006,-142.6,52.0,10.42
4_5bjp_E_S000007,-137.3,35.5,9.35
4_5bjp_E_S000008,20.8,117.2,11.91
4_5bjp_E_S000009,-141.7,25.6,10.28
4_5bjp_E_S000010,-148.2,24.6,10.23
4_5bjp_E_S000011,-149.1,23.6,11.13
4_5bjp_E_S000012,-136.3,49.9,9.61
4_5bjp_E_S000013,-139.5,40.2,10.81
4_5bjp_E_S000014,-139.7,34.4,10.53
4_5bjp_E_S000015,-142.5,33.0,10.32
4_5bjp_E_S000016,94.8,156.3,13.25
4_5bjp_E_S000017,-145.0,29.9,12.77
4_5bjp_E_S000018,-141.1,58.6,11.77
4_5bjp_E_S000019,-98.1,47.9,9.43
4_5bjp_E_S000020,-130.5,50.8,10.77
5_5bjp_E_S000001,-107.5,59.6,12.00
5_5bjp_E_S000002,-112.4,38.8,12.45
5_5bjp_E_S000003,-141.0,42.9,9.24
5_5bjp_E_S000004,-142.9,42.9,11.51
5_5bjp_E_S000005,-129.5,36.7,11.69
5_5bjp_E_S000006,-134.2,47.5,10.76
